Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price
2015,41000,Diesel,Manual,First,5,12.5
2011,46000,Petrol,Manual,First,5,4.5
2012,87000,Diesel,Manual,First,7,6
2013,40670,Diesel,Automatic,Second,5,17.74
2013,86999,Diesel,Manual,First,5,3.5
2016,36000,Diesel,Automatic,First,8,17.5
2013,64430,Diesel,Manual,First,5,5.2
2012,65932,Diesel,Manual,Second,5,1.95
2018,25692,Petrol,Manual,First,5,9.95
2012,60000,Petrol,Automatic,First,5,4.49
2015,64424,Diesel,Manual,First,5,5.6
2014,72000,Diesel,Automatic,First,5,27
2012,85000,Diesel,Automatic,Second,5,17.5
2014,110000,Diesel,Manual,First,7,15
2016,58950,Diesel,Manual,First,5,5.4
2017,25000,Diesel,Manual,First,5,5.99
2014,77469,Diesel,Manual,First,5,6.34
2014,78500,Diesel,Automatic,First,5,28
2014,32982,Diesel,Automatic,First,5,18.55
2015,55392,Diesel,Manual,Second,5,8.25
2015,55985,Petrol,Automatic,First,5,23.5
2010,45807,Petrol,Manual,First,5,1.87
2010,33000,Petrol,Automatic,First,5,2.85
2012,51920,Petrol,Manual,First,5,4.25
2012,54000,Diesel,Manual,First,5,4.25
2013,54000,Petrol,Manual,Second,5,2.75
2018,37430,Petrol,Manual,First,5,9.9
2013,62000,Diesel,Manual,First,5,7.75
2012,87615,Petrol,Manual,First,5,6.75
2013,72000,Diesel,Automatic,Second,7,12.5
2010,35000,Diesel,Automatic,First,5,11.5
2014,55431,Petrol,Manual,Second,5,6.98
2009,83816,Petrol,Manual,Second,5,1.85
2018,50075,Diesel,Manual,First,5,8.63
2017,52000,Petrol,Manual,First,5,4.85
2013,85000,Diesel,Automatic,First,5,28
2013,62000,Diesel,Manual,First,5,5
2008,90000,Petrol,Manual,Second,5,1.25
2014,19698,Petrol,Manual,First,4,1.53
2017,22033,Diesel,Manual,First,6,5.58
2014,35487,Petrol,Manual,First,5,4.74
2014,46374,Petrol,Automatic,First,5,8.85
2016,52001,Petrol,Automatic,First,5,10.11
2008,58005,Diesel,Manual,Second,5,4.25
2012,70704,Petrol,Manual,First,7,10.95
2014,75000,Diesel,Manual,First,5,3.85
2012,75800,Diesel,Manual,Second,6,5.5
2015,13648,Diesel,Automatic,First,5,21.43
2014,52000,Diesel,Manual,First,5,4.25
2014,53000,Diesel,Manual,First,5,3.3
2013,65650,Diesel,Manual,First,5,3.85
2015,39000,Petrol,Manual,First,5,3.99
2017,16542,Petrol,Manual,First,5,3.3
2010,32000,Petrol,Manual,First,5,2.07
2010,121812,Diesel,Automatic,First,5,7.75
2010,39300,Petrol,Manual,First,5,2.25
2017,22000,Diesel,Manual,First,8,16.5
2010,72000,Diesel,Manual,First,5,2.75
2015,58000,Petrol,Automatic,First,5,26.7
2011,65000,Diesel,Manual,Second,5,10
2016,178000,Diesel,Manual,First,5,2.5
2012,65664,Diesel,Automatic,First,5,13.5
2007,63000,Petrol,Automatic,Second,5,1.85
2019,15369,Diesel,Automatic,First,5,35.67
2016,63000,Diesel,Manual,First,7,8.15
2018,13000,Diesel,Manual,First,5,10.5
2008,73000,Petrol,Automatic,First,5,14.5
2015,55729,Diesel,Manual,First,7,9.65
2012,45178,Petrol,Automatic,First,5,3.48
2015,56066,Diesel,Manual,First,5,6.92
2016,37300,Petrol,Automatic,Second,5,6.46
2014,56000,Diesel,Automatic,Second,5,29.5
2008,111111,Diesel,Manual,First,5,2
2012,104000,Diesel,Manual,First,7,11.75
2005,87591,Petrol,Manual,First,5,1.3
2012,95100,Diesel,Manual,First,5,3.75
2017,70000,Petrol,Manual,First,5,4.5
2016,54944,Petrol,Manual,First,5,4.82
2012,70337,Diesel,Manual,First,5,2.8
2013,99638,Diesel,Manual,First,5,3.11
2009,52000,Petrol,Manual,First,5,3.25
2011,75000,Diesel,Automatic,Second,5,13.9
2009,95980,Petrol,Manual,First,5,2.25
2016,16000,Petrol,Manual,First,5,5.75
2007,73745,Petrol,Manual,First,5,2.1
2016,18949,Petrol,Manual,First,5,5
2014,107000,Diesel,Manual,First,7,16.5
2018,48367,Diesel,Automatic,First,5,39.58
2013,57000,Diesel,Manual,First,5,5.5
2014,58000,Diesel,Manual,First,7,8.1
2015,30000,Diesel,Manual,First,5,3.5
2013,34212,Diesel,Manual,First,5,2.79
2010,70002,Diesel,Manual,First,5,3.45
2016,62000,Petrol,Manual,First,5,4.45
2010,62001,Petrol,Manual,First,5,2.65
2011,78958,Diesel,Manual,Second,5,3.8
2014,30180,Petrol,Manual,First,5,4.65
2017,32851,Petrol,Manual,First,7,3.95
2010,30000,Diesel,Automatic,First,5,9.8
2009,66000,Petrol,Manual,Second,5,2.7
2010,93850,Petrol,Manual,First,5,2.41
2014,53000,Petrol,Manual,First,5,3.9
2011,78000,Diesel,Automatic,Second,5,24
2012,65000,Diesel,Manual,Second,7,5.75
2014,40000,Diesel,Automatic,First,5,5.25
2017,30000,Diesel,Automatic,First,7,19.25
2017,38053,Petrol,Manual,First,5,3.91
2014,25500,Petrol,Manual,First,4,2.15
2015,56087,Diesel,Automatic,First,5,20.75
2010,71088,Petrol,Manual,First,5,3.35
2014,55000,Diesel,Manual,First,7,11.11
2014,32700,Diesel,Automatic,First,5,20
2016,39882,Petrol,Automatic,First,5,6.55
2009,128000,Petrol,Automatic,First,5,7
2016,55000,Diesel,Manual,First,5,7.5
2005,102000,Petrol,Manual,Second,5,0.85
2014,53753,Diesel,Automatic,Second,5,16.75
2018,10250,Diesel,Manual,First,5,10.95
2011,43874,Petrol,Manual,First,5,2.45
2017,32684,Petrol,Automatic,First,4,3.23
2014,42000,Diesel,Manual,First,8,7.75
2009,28352,Petrol,Automatic,First,5,9.35
2007,47700,Petrol,Manual,Second,5,5.25
2015,55000,Diesel,Automatic,First,5,7.25
2017,44285,Petrol,Manual,First,5,7.47
2016,54000,Diesel,Automatic,First,7,13.25
2016,30232,Petrol,Manual,First,5,5.81
2014,88500,Petrol,Manual,First,5,2.6
2019,12645,Petrol,Automatic,First,5,11.5
2010,94385,Petrol,Manual,Second,5,1.6
2015,31821,Diesel,Automatic,First,5,17.22
2015,12000,Petrol,Automatic,First,5,6
2012,88578,Petrol,Manual,First,5,3.95
2014,44965,Diesel,Automatic,First,5,17.95
2014,45044,Diesel,Manual,First,5,3.7
2016,34204,Petrol,Manual,First,5,5.43
2012,91235,Diesel,Manual,First,7,13.49
2014,38800,Petrol,Manual,First,5,2.85
2013,83000,Diesel,Manual,First,5,4.75
2018,41283,Petrol,Manual,First,5,9.9
2013,23000,Petrol,Automatic,First,4,37
2014,48000,Diesel,Automatic,First,5,26.5
2015,48214,Diesel,Automatic,First,5,23.32
2016,35000,Diesel,Manual,First,5,6.25
2010,35277,Petrol,Automatic,First,5,30
2016,54620,Diesel,Automatic,First,5,9.86
2012,136997,Diesel,Automatic,First,5,8.5
2019,14322,Petrol,Manual,First,5,4.23
2012,65634,Diesel,Manual,First,5,3.5
2016,6000,Petrol,Manual,First,5,2.5
2013,33280,Petrol,Manual,First,5,2.39
2013,29000,Petrol,Automatic,First,5,11.25
2015,42831,Diesel,Manual,First,5,7.11
2016,90000,Diesel,Manual,First,7,10.9
2017,24005,Petrol,Manual,First,5,6.2
2012,32792,Diesel,Manual,First,7,7.9
2014,147898,Diesel,Manual,First,5,4.42
2012,131765,Diesel,Manual,First,7,13.5
